chunk_id,doc_id,source,title,url,text
1428,595,PubMed,Clinical Phenotypes of Parkinson's Disease Associate with Distinct Gut Microbiota and Metabolome Enterotypes.,https://pubmed.ncbi.nlm.nih.gov/33499229/," spectrometry approaches. The results showed a reduction in the relative abundance of Lachnospiraceae, <i>Blautia</i>, <i>Coprococcus</i>, <i>Lachnospira</i>, and an increase in Enterobacteriaceae, <i>Escherichia</i> and <i>Serratia</i> linked to non-TD subtypes. Moreover, the levels of important molecules (i.e., nicotinic acid, cadaverine, glucuronic acid) were altered in relation to the severity of phenotype. We hypothesize that the microbiota/metabolome enterotypes associated to non-TD subtypes may favor the development of gut inflammatory environment and gastrointestinal dysfunctions and therefore a more severe α-synucleinopathy. This study adds important information to PD pathogenesis and emphasizes the potential pathophysiological link between gut microbiota/metabolites and PD motor subtypes."
1429,596,PubMed,The Role of Astrocyte Dysfunction in Parkinson's Disease Pathogenesis.,https://pubmed.ncbi.nlm.nih.gov/28527591/,"Astrocytes are the most populous glial subtype and are critical for brain function. Despite this, historically there have been few studies into the role that they may have in neurodegenerative diseases, such as Parkinson's disease (PD). Recently, however, several studies have determined that genes known to have a causative role in the development of PD are expressed in astrocytes and have important roles in astrocyte function. Here, we review these recent developments and discuss their impact on our understanding of the pathophysiology of PD, and the implications that this might have for its treatment."
1430,597,PubMed,Association between neutrophil-to-lymphocyte ratio and motor subtypes in idiopathic Parkinson's disease: a prospective observational study.,https://pubmed.ncbi.nlm.nih.gov/39379829/,"Peripheral immunity and neuroinflammation interact with each other and they play important roles in the pathophysiology of idiopathic Parkinson's disease (IPD). There have been very few real-world reports on the relationship between peripheral immune inflammation and motor phenotypes of IPD. This study aimed to investigate the potential correlation between peripheral inflammatory indicators and motor subtypes in patients with IPD. This observational, prospective case-control study examined patients with IPD and healthy controls (HC) matched for age and sex between September 2021 and July 2023 at the Affiliated Huaian No. 1 People's Hospital of Nanjing Medical University. The levels of peripheral inflammatory indicators were collected from each patient with IPD and HCs. Differences in the levels of peripheral inflammatory indicators among groups were compared. Binary logistic regression a"
1431,597,PubMed,Association between neutrophil-to-lymphocyte ratio and motor subtypes in idiopathic Parkinson's disease: a prospective observational study.,https://pubmed.ncbi.nlm.nih.gov/39379829/,"ach patient with IPD and HCs. Differences in the levels of peripheral inflammatory indicators among groups were compared. Binary logistic regression analysis was used to explore the inflammatory mechanism underlying the motor subtype of IPD. A total number of 94 patients with IPD were recruited at the Affiliated Huaian No. 1 People's Hospital of Nanjing Medical University between September 2021 and July 2023, including 49 males and 45 females, and 37 healthy volunteers matched for age and sex were also enrolled as the control group. Of the 94 patients with IPD, 42.6% performed as the TD motor subtype and 57.4% performed as the AR motor subtype. NLR and the plasma levels of IL-1βand TNF-α in the IPD group were higher than those in the HC group (P < 0.05). The disease duration, Hoehn and Yahr (H-Y) stage, NLR, and the levels of IL-1β in the AR group were higher than those in the TD group ("
1432,597,PubMed,Association between neutrophil-to-lymphocyte ratio and motor subtypes in idiopathic Parkinson's disease: a prospective observational study.,https://pubmed.ncbi.nlm.nih.gov/39379829/,"up (P < 0.05). The disease duration, Hoehn and Yahr (H-Y) stage, NLR, and the levels of IL-1β in the AR group were higher than those in the TD group (P < 0.05). Additionally, IL-1β plasma levels and NLR were positively correlated with disease duration, H-Y stage, movement disorder society-Unified Parkinson's Disease Rating Scale-III motor score, and AR subtype. The binary logistic regression model revealed that the plasma level of IL-1β was mildly associated with the AR motor subtype and NLR was strongly associated with the AR motor subtype. The combination of NLR and IL-1β showed better performance in identifying the AR motor subtype. NLR is strongly associated with the AR motor subtype in IPD, and peripheral immunity is probably involved in the pathogenesis of AR motor subtype in IPD."
1433,598,PubMed,Emerging Targeted Therapeutics for Genetic Subtypes of Parkinsonism.,https://pubmed.ncbi.nlm.nih.gov/32914362/,"In recent years, a precision medicine approach, which customizes medical treatments based on patients' individual profiles and incorporates variability in genes, the environment, and lifestyle, has transformed medical care in numerous medical fields, most notably oncology. Applying a similar approach to Parkinson's disease (PD) may promote the development of disease-modifying agents that could help slow progression or possibly even avert disease development in a subset of at-risk individuals. The urgent need for such trials partially stems from the negative results of clinical trials where interventions treat all PD patients as a single homogenous group. Here, we review the current obstacles towards the development of precision interventions in PD. We also review and discuss the clinical trials that target genetic forms of PD, i.e., GBA-associated and LRRK2-associated PD."
1434,598,PubMed,Emerging Targeted Therapeutics for Genetic Subtypes of Parkinsonism.,https://pubmed.ncbi.nlm.nih.gov/32914362/,"s in PD. We also review and discuss the clinical trials that target genetic forms of PD, i.e., GBA-associated and LRRK2-associated PD."
1435,599,PubMed,Distinct changes in global brain synchronization in different motor subtypes of Parkinson's disease.,https://pubmed.ncbi.nlm.nih.gov/37920294/,"This study investigated alterations in degree centrality (DC) in different motor subtypes of Parkinson's disease (PD) and analyzed its clinical significance during disease occurrence. A total of 146 subjects were recruited in the study, including 90 patients with PD [51 and 39 with tremor dominant (TD) and akinetic-rigid dominant (ARD) disease, respectively] and 56 healthy controls (HCs). The resting-state functional magnetic resonance imaging data of all the subjects were obtained by 3.0 T magnetic resonance scans. The DC values, an indicator of whole brain synchronization, were calculated and compared among the TD, ARD, and HC groups. Disparities in DC values among the three groups were evaluated by analysis of variance and <i>post hoc</i> two-sample <i>t</i>-tests. Correlation between brain regions with DC differences and clinical variables were performed using partial correlation ana"
1436,599,PubMed,Distinct changes in global brain synchronization in different motor subtypes of Parkinson's disease.,https://pubmed.ncbi.nlm.nih.gov/37920294/,"> two-sample <i>t</i>-tests. Correlation between brain regions with DC differences and clinical variables were performed using partial correlation analysis after controlling for age, gender, and disease duration. Compared to the HCs, both TD and ARD groups demonstrated increased DC values bilaterally in the cerebellum; DC values were decreased in the left putamen and paracentral lobule in the TD group and in the left anterior cingulate gyrus and right supplementary motor area in the ARD group. Compared to the ARD group, the TD group showed decreased DC values in bilateral cerebellar hemispheres and increased DC values in the left anterior cingulate gyrus and right supplementary motor area. The DC of the whole brain showed inconsistencies and shared neural bases among patients with the two subtypes of PD. The differences between brain regions with abnormal DC values may be closely related"
1437,599,PubMed,Distinct changes in global brain synchronization in different motor subtypes of Parkinson's disease.,https://pubmed.ncbi.nlm.nih.gov/37920294/,d shared neural bases among patients with the two subtypes of PD. The differences between brain regions with abnormal DC values may be closely related to different clinical presentations of the two motor subtypes. Our findings provide new insights into the clinical heterogeneity of PD with respect to different motor subtypes.
1438,600,PubMed,Differentiating Parkinson's disease motor subtypes: A radiomics analysis based on deep gray nuclear lesion and white matter.,https://pubmed.ncbi.nlm.nih.gov/34174346/,"To investigate the feasibility of radiomics analysis of brain MR images to differentiate Parkinson's disease motor subtypes. 42 postural instability gait difficulty (PIGD) patients, 92 tremor-dominant (TD) patients and 96 healthy controls were included from the Parkinson's Progressive Marker Initiative public database. For each subject, 4850 radiomic features from 148 cortical and 14 subcortical brain regions were extracted. The variance threshold and the least absolute shrinkage and selection operator were used to select the optimal features. Classification models based on Support Vector Machine, Logistic Regrcession, and Multi-Layer Perceptron were constructed to assess the performance of optimal features in the discrimination of the two subtypes. Correlations between radiomic features and clinical scores of the two subtypes were estimated. The Support Vector Machine demonstrated the b"
1439,600,PubMed,Differentiating Parkinson's disease motor subtypes: A radiomics analysis based on deep gray nuclear lesion and white matter.,https://pubmed.ncbi.nlm.nih.gov/34174346/,"subtypes. Correlations between radiomic features and clinical scores of the two subtypes were estimated. The Support Vector Machine demonstrated the best performance in discriminating between the two subtypes, and the mean area under the curve was 0.833 (specificity = 83.3%, sensitivity = 75.0%, and accuracy = 80.7%). For the postural instability gait difficulty patients, these optimal features in the hippocampal showed closed correlations with the Montreal Cognitive Assessment scores (P < 0.05). The results of our study provide preliminary evidence that radiomics analysis of brain MR images could allow discrimination between patients with TD, PIGD and control subjects and has great potential value in the clinical practice."
1440,601,PubMed,Patterns of α-synuclein pathology in incidental cases and clinical subtypes of Parkinson's disease.,https://pubmed.ncbi.nlm.nih.gov/22166446/,"Parkinson's disease (PD) is characterized by a gradual accumulation of neuropathology that may begin many years before a clinical diagnosis can be made using currently accepted criteria. Here, we first review the prevalence of α-synuclein neuropathology in elderly and discuss its clinical relevance in Parkinson patients. Subsequently, the results of a retrospective study focussing on the distribution of neuropathology in Parkinson patients with a tremor-dominant (TD), non-tremordominant (NTD) or rapid disease progression (RDP) subtype are presented. The study population recruited by the Netherlands Brain bank consisted of 149 non-neurological donors, 26 donors with incidental Lewy body disease (iLBD) and 111 Parkinson patients. In total, 89% of these cases could be classified in accordance with the Braak staging when taking into account the severity of α-synuclein pathology and adding an"
1441,601,PubMed,Patterns of α-synuclein pathology in incidental cases and clinical subtypes of Parkinson's disease.,https://pubmed.ncbi.nlm.nih.gov/22166446/,"% of these cases could be classified in accordance with the Braak staging when taking into account the severity of α-synuclein pathology and adding an amygdala-predominant category of synucleinopathy. The pathological progression seemed to be non-linear. Interestingly, a strong correlation between neuronal loss and α-synuclein pathology was observed in the substantia nigra in Braak stages 3-6 (P < 0.01). However, there was no correlation between Hoehn & Yahr and Braak stages. Neuropathological progression may, however, vary between subtypes as cortical Lewy body load and Braak stages were higher in patients with NTD compared to TD and Alzheimer pathology was more prevalent in RDP patients. Recognition of clinical subtypes in neuropathological studies is essential to identify selective vulnerability to protein accumulation that may determine the clinical phenotype in PD."
1442,601,PubMed,Patterns of α-synuclein pathology in incidental cases and clinical subtypes of Parkinson's disease.,https://pubmed.ncbi.nlm.nih.gov/22166446/,al studies is essential to identify selective vulnerability to protein accumulation that may determine the clinical phenotype in PD.
1443,602,PubMed,Association of Plasma and Electroencephalography Markers With Motor Subtypes of Parkinson's Disease.,https://pubmed.ncbi.nlm.nih.gov/35903537/,"The aim of this study was to investigate the correlations of plasma neurodegenerative proteins and electroencephalography (EEG) dynamic functional network (DFN) parameters with disease progression in early Parkinson's disease (PD) with different motor subtypes, including tremor-dominant (TD) and postural instability and gait disorder (PIGD). In our study, 33 patients with PD (21 TD and 12 PIGD) and 33 healthy controls (HCs) were enrolled. Plasma neurofilament light chain (NfL), α-synuclein (α-syn), total-tau (t-tau), β-amyloid 42 (Aβ42), and β-amyloid 40 (Aβ40) levels were measured using an ultrasensitive single-molecule array (Simoa) immunoassay. All the patients with PD underwent EEG quantified by DFN analysis. The motor and non-motor performances were evaluated by a series of clinical assessments. Subsequently, a correlation analysis of plasma biomarkers and EEG measures with clinical"
1444,602,PubMed,Association of Plasma and Electroencephalography Markers With Motor Subtypes of Parkinson's Disease.,https://pubmed.ncbi.nlm.nih.gov/35903537/,"formances were evaluated by a series of clinical assessments. Subsequently, a correlation analysis of plasma biomarkers and EEG measures with clinical scales was conducted. In the TD group, plasma NfL exhibited a significant association with MDS-UPDRS III and Montreal Cognitive Assessment (MoCA). A higher Aβ42/40 level was significantly related to a decrease in Hamilton Depression Rating Scale (HAMD) and Hamilton Anxiety Rating Scale (HAMA) in the PIGD group. In terms of the correlation between EEG characteristic parameters and clinical outcomes, trapping time (<i>TT</i>) delta was positively correlated with MDS-UPDRS III and MoCA scores in the TD group, especially in the prefrontal and frontal regions. For other non-motor symptoms, there were significant direct associations of <i>k</i> <sub><i>PLI</i></sub> theta with HAMD and HAMA, especially in the prefrontal region, and <i>k</i> <sub"
1445,602,PubMed,Association of Plasma and Electroencephalography Markers With Motor Subtypes of Parkinson's Disease.,https://pubmed.ncbi.nlm.nih.gov/35903537/,"ere significant direct associations of <i>k</i> <sub><i>PLI</i></sub> theta with HAMD and HAMA, especially in the prefrontal region, and <i>k</i> <sub><i>PLI</i></sub> gamma was particularly correlated with Rapid Eye Movement Sleep Behavior Disorder Screening Questionnaire (RBDSQ) scores in the prefrontal, frontal, and parietal regions in the TD group. Furthermore, there was a significant positive correlation between plasma t-tau and <i>k</i> <sub><i>PLI</i></sub> , and pairwise correlations were found among plasma NfL, theta <i>TT</i>, and MoCA scores in the TD group. These results provide evidence that plasma neurodegenerative proteins and EEG measures have great potential in predicting the disease progression of PD subtypes, especially for the TD subtype. A combination of these two kinds of markers may have a superposition effect on monitoring and estimating the prognosis of PD subtyp"
1446,602,PubMed,Association of Plasma and Electroencephalography Markers With Motor Subtypes of Parkinson's Disease.,https://pubmed.ncbi.nlm.nih.gov/35903537/,"or the TD subtype. A combination of these two kinds of markers may have a superposition effect on monitoring and estimating the prognosis of PD subtypes and deserves further research in larger, follow-up PD cohorts."
1447,603,PubMed,Non motor subtypes and Parkinson's disease.,https://pubmed.ncbi.nlm.nih.gov/26459660/,"Non motor symptoms (NMS) represent a significant burden in Parkinson's disease (PD) with numerous studies highlighting the importance of NMS both in ""pre-motor"" phase of PD as well as throughout the course of disease. In part this has led the international Parkinson and Movement Disorder Society (IPMDS) task force to attempt a re-definition of PD incorporating NMS and not base the diagnosis solely on motor symptoms. While motor subtypes within PD have been recognized and researched, recent clinical and neurobiological research suggests the existence of discrete non motor subtypes in PD, particularly in untreated (drug naïve) and early PD patients. Several independent observers have reported specific ""clusters of NMS dominant PD"" using a data driven approach in early and untreated PD patients while others have reported on the burden of NMS in untreated PD and specific NMS dominant phenoty"
1448,603,PubMed,Non motor subtypes and Parkinson's disease.,https://pubmed.ncbi.nlm.nih.gov/26459660/,"a driven approach in early and untreated PD patients while others have reported on the burden of NMS in untreated PD and specific NMS dominant phenotypes in untreated or treated PD using observational case series based data. In this review we report on specific NMS dominant phenotypes of PD as described in the literature using clinical observational studies and address pathophysiological concepts. A proposal for several NMS subtypes are reported combining clinical reports with, where possible, evidence base supporting probable biomarkers."
1449,604,PubMed,"Autonomic dysfunction in Parkinson's disease: Implications for pathophysiology, diagnosis, and treatment.",https://pubmed.ncbi.nlm.nih.gov/31809788/,"Parkinson's disease (PD) is a neurodegenerative disease with a 200 year-long research history. Our understanding about its clinical phenotype and pathogenesis remains limited, although dopaminergic replacement therapy has significantly improved patient outcomes. Autonomic dysfunction is an essential category of non-motor phenotypes that has recently become a cutting edge field that directs frontier research in PD. In this review, we initially describe the epidemiology of dysautonomic symptoms in PD. Then, we perform a meticulous analysis of the pathophysiology of autonomic dysfunction in PD and propose that the peripheral autonomic nervous system may be a key route for α-synuclein pathology propagation from the periphery to the central nervous system. In addition, we recommend that constipation, orthostatic hypotension, urinary dysfunction, erectile dysfunction, and pure autonomic failur"
1450,604,PubMed,"Autonomic dysfunction in Parkinson's disease: Implications for pathophysiology, diagnosis, and treatment.",https://pubmed.ncbi.nlm.nih.gov/31809788/,"ous system. In addition, we recommend that constipation, orthostatic hypotension, urinary dysfunction, erectile dysfunction, and pure autonomic failure should be viewed as prodromal dysautonomic markers in PD prediction and diagnosis. Finally, we summarize the strategies currently available for the treatment of autonomic dysfunction in PD and suggest that high-quality, better-designed, randomized clinical trials should be conducted in the future."
1451,605,PubMed,Parkinson's Disease in Women and Men: What's the Difference?,https://pubmed.ncbi.nlm.nih.gov/31282427/,"Increasing evidence points to biological sex as an important factor in the development and phenotypical expression of Parkinson's disease (PD). Risk of developing PD is twice as high in men than women, but women have a higher mortality rate and faster progression of the disease. Moreover, motor and nonmotor symptoms, response to treatments and disease risk factors differ between women and men. Altogether, sex-related differences in PD support the idea that disease development might involve distinct pathogenic mechanisms (or the same mechanism but in a different way) in male and female patients. This review summarizes the most recent knowledge concerning differences between women and men in PD clinical features, risk factors, response to treatments and mechanisms underlying the disease pathophysiology. Unraveling how the pathology differently affect the two sexes might allow the developme"
1452,605,PubMed,Parkinson's Disease in Women and Men: What's the Difference?,https://pubmed.ncbi.nlm.nih.gov/31282427/,"atments and mechanisms underlying the disease pathophysiology. Unraveling how the pathology differently affect the two sexes might allow the development of tailored interventions and the design of innovative programs that meet the distinct needs of men and women, improving patient care."
1453,606,PubMed,Nigrostriatal tau pathology in parkinsonism and Parkinson's disease.,https://pubmed.ncbi.nlm.nih.gov/38006313/,"While Parkinson's disease remains clinically defined by cardinal motor symptoms resulting from nigrostriatal degeneration, it is now appreciated that the disease commonly consists of multiple pathologies, but it is unclear where these co-pathologies occur early in disease and whether they are responsible for the nigrostriatal degeneration. For the past number of years, we have been studying a well-characterized cohort of subjects with motor impairment that we have termed mild motor deficits. Motor deficits were determined on a modified and validated Unified Parkinson's Disease Rating Scale III but were insufficient in degree to diagnose Parkinson's disease. However, in our past studies, cases in this cohort had a selection bias, as both a clinical syndrome in between no motor deficits and Parkinson's disease, plus nigral Lewy pathology as defined post-mortem, were required for inclusion."
1454,606,PubMed,Nigrostriatal tau pathology in parkinsonism and Parkinson's disease.,https://pubmed.ncbi.nlm.nih.gov/38006313/,"linical syndrome in between no motor deficits and Parkinson's disease, plus nigral Lewy pathology as defined post-mortem, were required for inclusion. Therefore, in the current study, we only based inclusion on the presence of a clinical phenotype with mild motor impairment insufficient to diagnose Parkinson's disease. Then, we divided this group further based upon whether or not subjects had a synucleinopathy in the nigrostriatal system. Here we demonstrate that loss of nigral dopaminergic neurons, loss of putamenal dopaminergic innervation and loss of the tyrosine hydroxylase-phenotype in the substantia nigra and putamen occur equally in mild motor deficit groups with and without nigral alpha-synuclein aggregates. Indeed, the common feature of these two groups is that both have similar degrees of AT8 positive phosphorylated tau, a pathology not seen in the nigrostriatal system of age-m"
1455,606,PubMed,Nigrostriatal tau pathology in parkinsonism and Parkinson's disease.,https://pubmed.ncbi.nlm.nih.gov/38006313/,"re of these two groups is that both have similar degrees of AT8 positive phosphorylated tau, a pathology not seen in the nigrostriatal system of age-matched controls. These findings were confirmed with early (tau Ser208 phosphorylation) and late (tau Ser396/Ser404 phosphorylation) tau markers. This suggests that the initiation of nigrostriatal dopaminergic neurodegeneration occurs independently of alpha-synuclein aggregation and can be tau mediated."
1456,607,PubMed,Disruption of mitochondrial complex I induces progressive parkinsonism.,https://pubmed.ncbi.nlm.nih.gov/34732887/,"Loss of functional mitochondrial complex I (MCI) in the dopaminergic neurons of the substantia nigra is a hallmark of Parkinson's disease<sup>1</sup>. Yet, whether this change contributes to Parkinson's disease pathogenesis is unclear<sup>2</sup>. Here we used intersectional genetics to disrupt the function of MCI in mouse dopaminergic neurons. Disruption of MCI induced a Warburg-like shift in metabolism that enabled neuronal survival, but triggered a progressive loss of the dopaminergic phenotype that was first evident in nigrostriatal axons. This axonal deficit was accompanied by motor learning and fine motor deficits, but not by clear levodopa-responsive parkinsonism-which emerged only after the later loss of dopamine release in the substantia nigra. Thus, MCI dysfunction alone is sufficient to cause progressive, human-like parkinsonism in which the loss of nigral dopamine release mak"
1457,607,PubMed,Disruption of mitochondrial complex I induces progressive parkinsonism.,https://pubmed.ncbi.nlm.nih.gov/34732887/,"tantia nigra. Thus, MCI dysfunction alone is sufficient to cause progressive, human-like parkinsonism in which the loss of nigral dopamine release makes a critical contribution to motor dysfunction, contrary to the current Parkinson's disease paradigm<sup>3,4</sup>."
1458,608,PubMed,"Early Parkinson's Disease Phenotypes Tailored by Personality, Behavior, and Motor Symptoms.",https://pubmed.ncbi.nlm.nih.gov/35527563/,"Previous studies described a parkinsonian personality characterized as rigid, introverted, and cautious; however, little is known about personality traits in de novo Parkinson's disease (PD) patients and their relationships with motor and neuropsychiatric symptoms. To investigate personality in de novo PD and explore its relationship with PD symptoms. Using Cloninger's biosocial model, we assessed personality in 193 de novo PD patients. Motor and non-motor symptoms were measured using several validated scales. Cluster analysis was conducted to investigate the interrelationship of personality traits, motor, and non-motor symptoms. PD patients showed low novelty seeking, high harm avoidance, and normal reward dependence and persistence scores. Harm avoidance was positively correlated with the severity of depression, anxiety, and apathy (rs = [0.435, 0.676], p < 0.001) and negatively correl"
1459,608,PubMed,"Early Parkinson's Disease Phenotypes Tailored by Personality, Behavior, and Motor Symptoms.",https://pubmed.ncbi.nlm.nih.gov/35527563/,". Harm avoidance was positively correlated with the severity of depression, anxiety, and apathy (rs = [0.435, 0.676], p < 0.001) and negatively correlated with quality of life (rs = -0.492, p < 0.001). Novelty seeking, reward dependence, and persistence were negatively correlated with apathy (rs = [-0.274, -0.375], p < 0.001). Classification of patients according to personality and PD symptoms revealed 3 distinct clusters: i) neuropsychiatric phenotype (with high harm avoidance and low novelty seeking, hypodopaminergic neuropsychiatric symptoms and higher impulsivity), ii) motor phenotype (with low novelty seeking and higher motor severity), iii) benign phenotype (with low harm avoidance and high novelty seeking, reward dependence, and persistence traits clustered with lower symptoms severity and low impulsivity). Personality in early PD patients allows us to recognize 3 patients' phenot"
1460,608,PubMed,"Early Parkinson's Disease Phenotypes Tailored by Personality, Behavior, and Motor Symptoms.",https://pubmed.ncbi.nlm.nih.gov/35527563/,istence traits clustered with lower symptoms severity and low impulsivity). Personality in early PD patients allows us to recognize 3 patients' phenotypes. Identification of such subgroups may help to better understand their natural history. Their longitudinal follow-up will allow confirming whether some personality features might influence disease evolution and treatment.
1461,609,PubMed,Motor progression phenotypes in early-stage Parkinson's Disease: A clinical prediction model and the role of glymphatic system imaging biomarkers.,https://pubmed.ncbi.nlm.nih.gov/37562710/,"Substantial heterogeneity of motor symptoms in Parkinson's disease (PD) poses a challenge to disease prediction. The aim of this study was to construct a nomogram model that can distinguish different longitudinal trajectories of motor symptom changes in early-stage PD patients. Data on 90 patients with 5-years of follow-up were collected from the Parkinson's Progression Marker Initiative (PPMI) cohort. We used a latent class mixed modeling (LCMM) to identify distinct progression patterns of motor symptoms, and backward stepwise logistic regression with baseline information was conducted to identify the potential predictors for motor trajectory and to develop a nomogram. The performance of the nomogram model was then evaluated using the optimism-corrected C-index for internal validation, the area under the curve (AUC) of the receiver operating characteristic (ROC) curve for discrimination"
1462,609,PubMed,Motor progression phenotypes in early-stage Parkinson's Disease: A clinical prediction model and the role of glymphatic system imaging biomarkers.,https://pubmed.ncbi.nlm.nih.gov/37562710/,"mism-corrected C-index for internal validation, the area under the curve (AUC) of the receiver operating characteristic (ROC) curve for discrimination, the calibration curve for predictive accuracy, and decision curve analysis (DCA) for its clinical value. We identified two trajectories for motor progression patterns. The first, Class 1 (Motor deteriorated group), was characterized by sustained, continuously worsening motor symptoms, and the second, Class 2 (Motor stable group), had stable motor symptoms throughout the follow-up period. The best combination of 7 baseline variables was identified and assembled into the nomogram: Scopa-AUT [odds ratio (OR), 1.11; p = 0.091], Letter number sequencing (LNS) (OR, 0.76; p = 0.068), the asymmetry index of putamen (OR, 0.95; p = 0.034), mean caudate uptake (OR, 0.14; p = 0.086), CSF pTau/α-synuclein (OR, 0.00; p = 0.011), CSF tTau/Aβ (OR, 254348"
1463,609,PubMed,Motor progression phenotypes in early-stage Parkinson's Disease: A clinical prediction model and the role of glymphatic system imaging biomarkers.,https://pubmed.ncbi.nlm.nih.gov/37562710/,"index of putamen (OR, 0.95; p = 0.034), mean caudate uptake (OR, 0.14; p = 0.086), CSF pTau/α-synuclein (OR, 0.00; p = 0.011), CSF tTau/Aβ (OR, 25434806; p = 0.025), and the index for diffusion tensor image analysis along the perivascular space (ALPS-index) (OR, 0.02; p = 0.030). The nomogram achieved good discrimination, with an original AUC of 0.901 (95% CI, 0.813-0.989), and the bias-corrected concordance index (C-index) with 1,000 bootstraps was 0.834. The calibration curve and DCA also suggested both the high accuracy and clinical usefulness of the nomogram, respectively. This study proposes an effective nomogram to predict different motor progression patterns in early-stage PD. Furthermore, the imaging biomarker indicating glymphatic function could be an independent predictive factor for PD motor progression."
1464,610,PubMed,Parkinson's disease and vitamins: a focus on vitamin B12.,https://pubmed.ncbi.nlm.nih.gov/38602571/,"Parkinson's disease (PD) has been linked to a vast array of vitamins among which vitamin B12 (Vit B12) is the most relevant and often investigated specially in the context of intrajejunal levodopa infusion therapy. Vit B12 deficiency, itself, has been reported to cause acute parkinsonism. Nevertheless, concrete mechanisms through which B12 deficiency interacts with PD in terms of pathophysiology, clinical manifestation and progression remains unclear. Recent studies have suggested that Vit B12 deficiency along with the induced hyperhomocysteinemia are correlated with specific PD phenotypes characterized with early postural instability and falls and more rapid motor progression, cognitive impairment, visual hallucinations and autonomic dysfunction. Specific clinical features such as polyneuropathy have also been linked to Vit B12 deficiency specifically in context of intrajejunal levodopa"
1465,610,PubMed,Parkinson's disease and vitamins: a focus on vitamin B12.,https://pubmed.ncbi.nlm.nih.gov/38602571/,"nction. Specific clinical features such as polyneuropathy have also been linked to Vit B12 deficiency specifically in context of intrajejunal levodopa therapy. In this review, we explore the link between Vit B12 and PD in terms of physiopathology regarding dysfunctional neural pathways, neuropathological processes as well as reviewing the major clinical traits of Vit B12 deficiency in PD and Levodopa-mediated neuropathy. Finally, we provide an overview of the therapeutic effect of Vit B12 supplementation in PD and posit a practical guideline for Vit B12 testing and supplementation."
1466,611,PubMed,Reversing a model of Parkinson's disease with in situ converted nigral neurons.,https://pubmed.ncbi.nlm.nih.gov/32581380/,"Parkinson's disease is characterized by loss of dopamine neurons in the substantia nigra<sup>1</sup>. Similar to other major neurodegenerative disorders, there are no disease-modifying treatments for Parkinson's disease. While most treatment strategies aim to prevent neuronal loss or protect vulnerable neuronal circuits, a potential alternative is to replace lost neurons to reconstruct disrupted circuits<sup>2</sup>. Here we report an efficient one-step conversion of isolated mouse and human astrocytes to functional neurons by depleting the RNA-binding protein PTB (also known as PTBP1). Applying this approach to the mouse brain, we demonstrate progressive conversion of astrocytes to new neurons that innervate into and repopulate endogenous neural circuits. Astrocytes from different brain regions are converted to different neuronal subtypes. Using a chemically induced model of Parkinson's"
1467,611,PubMed,Reversing a model of Parkinson's disease with in situ converted nigral neurons.,https://pubmed.ncbi.nlm.nih.gov/32581380/,"neural circuits. Astrocytes from different brain regions are converted to different neuronal subtypes. Using a chemically induced model of Parkinson's disease in mouse, we show conversion of midbrain astrocytes to dopaminergic neurons, which provide axons to reconstruct the nigrostriatal circuit. Notably, re-innervation of striatum is accompanied by restoration of dopamine levels and rescue of motor deficits. A similar reversal of disease phenotype is also accomplished by converting astrocytes to neurons using antisense oligonucleotides to transiently suppress PTB. These findings identify a potentially powerful and clinically feasible approach to treating neurodegeneration by replacing lost neurons."
1468,612,PubMed,Parkinson's disease subtypes: Approaches and clinical implications.,https://pubmed.ncbi.nlm.nih.gov/39567305/,"Parkinson's disease (PD) is a complex neurodegenerative disorder with significant heterogeneity in disease presentation and progression. Subtype identification remains a top priority in the field of PD clinical research. Several PD subtypes have been identified. Hypothesis-driven subtypes refer to pre-defined subtypes based on specific criteria. Under hypothesis-driven subtypes, motor subtypes are the most common empirical subtype in both research and clinical settings. The concept of the non-motor symptoms (NMS) subtypes is relatively new and less well studied. Mild cognitive impairment (MCI) is one of the more prevalent NMS subtypes of PD. Data-driven subtyping is a hypothesis-free approach, that defines disease phenotypes by comprehensively evaluating multidimensional data. In this review, we summarize the main features for the different PD subtypes: from hypothesis-driven subtypes to"
1469,612,PubMed,Parkinson's disease subtypes: Approaches and clinical implications.,https://pubmed.ncbi.nlm.nih.gov/39567305/,"ely evaluating multidimensional data. In this review, we summarize the main features for the different PD subtypes: from hypothesis-driven subtypes to data-driven subtypes. NMS and data-driven subtypes are still not yet well understood particularly with regard to biomarker and progression characterization. Future PD subtyping based on specific biological makers will enable us to better reflect the underlying pathophysiological underpinnings and enhance our search for specific therapeutic targets. The goal is to develop a simple algorithm to subtype PD patients at an early stage of PD that will enable good prognostication of their disease course, targeted therapies to be delivered, and proactive prevention of complications. Understanding PD subtypes and heterogeneity will also guide future clinical trial design and aid clinicians to better manage PD patients that will enable targeted dise"
1470,612,PubMed,Parkinson's disease subtypes: Approaches and clinical implications.,https://pubmed.ncbi.nlm.nih.gov/39567305/,subtypes and heterogeneity will also guide future clinical trial design and aid clinicians to better manage PD patients that will enable targeted disease surveillance and personalized treatment. The graphical abstract can be seen below.
